X,Y
5641.2972,5571.46296
5571.46296,5970.82752
5970.82752,6481.4904
6481.4904,5984.2332
5984.2332,6267.62304
6267.62304,6930.4248
6930.4248,5588.76564
5588.76564,6626.4588
6626.4588,6750.85104
6750.85104,6439.55868
6439.55868,6807.2796
6807.2796,7679.89584
7679.89584,6700.34592
6700.34592,6531.99552
6531.99552,6932.29536
6932.29536,6796.368
6796.368,6439.55868
6439.55868,6721.5456
6721.5456,6529.50144
6529.50144,5793.90372
5793.90372,6303.63132
6303.63132,5725.94004
5725.94004,7070.7168
7070.7168,7136.1864
7136.1864,6550.0776
6550.0776,5892.264
5892.264,6762.38616
6762.38616,8053.69608
8053.69608,6961.6008
6961.6008,7543.96848
7543.96848,6841.5732
6841.5732,6550.0776
6550.0776,6313.14
6313.14,6801.35616
6801.35616,6801.35616
6801.35616,6581.87712
6581.87712,6538.23072
6538.23072,6633.00576
6633.00576,6060.6144
6060.6144,6320.62224
6320.62224,6439.55868
6439.55868,6395.7564
6395.7564,5808.0888
5808.0888,5301.16704
5301.16704,5622.90336
5622.90336,4989.7188
4989.7188,4553.56656
4553.56656,4944.35772
4944.35772,5318.15796
5318.15796,5252.53248
5252.53248,5012.3214
5012.3214,6694.42248
6694.42248,5674.96728
5674.96728,5052.38256
5052.38256,4921.1316
4921.1316,4468.61196
4468.61196,5235.69744
5235.69744,5260.01472
5260.01472,4886.838
4886.838,5012.3214
5012.3214,5607.0036
5607.0036,5522.080176
5522.080176,5028.06528
5028.06528,6241.4352
6241.4352,5301.16704
5301.16704,5674.96728
5674.96728,5829.912
5829.912,5401.242
5401.242,5778.4716
5778.4716,5554.16028
5554.16028,4671.7236
4671.7236,4207.51296
4207.51296,4888.3968
4888.3968,4896.65844
4896.65844,5208.10668
5208.10668,5035.07988
5035.07988,5744.48976
5744.48976,5267.1852
5267.1852,5435.5356
5435.5356,5692.58172
5692.58172,5097.89952
5097.89952,5069.68524
5069.68524,5080.44096
5080.44096,5006.8656
5006.8656,4567.90752
4567.90752,4862.05308
4862.05308,4269.5532
4269.5532,4723.63164
4723.63164,4731.26976
4731.26976,4355.2872
